Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d16_c64_s32_cost0.005,32.0,64.0,16.0,0.005,12949.41202,-0.65214854,0.20763867,0.35671484,0.0002471935,-0.9500001072883606,-0.7000000476837158,-0.550000011920929,-0.3999999761581421,-0.1499999612569809
d16_c64_s4_cost0.005,4.0,64.0,16.0,0.005,12950.341646666666,-0.79957956,0.122593045,0.48349828,0.00010726642,-1.3499997854232788,-1.149999976158142,-0.6500000357627869,-0.3999999761581421,-0.1499999612569809
d16_c64_s64_cost0.005,64.0,64.0,16.0,0.005,12947.934393333333,-0.51359355,0.3188471,0.36027512,0.00041730245,-0.9000000953674316,-0.6500000357627869,-0.2999999523162842,-0.09999996423721313,3.6507845635469494e-08
d16_c64_s8_cost0.005,8.0,64.0,16.0,0.005,12947.18552,-0.6443883,0.25282207,0.41597474,0.0005240708,-1.4999996423721313,-1.3499997854232788,-0.6000000238418579,-0.09999996423721313,0.050000037997961044
d16_c8_s16_cost0.005,16.0,8.0,16.0,0.005,13312.867346666666,-0.6497462,0.351783,0.44119838,0.0014770665,-1.2999998331069946,-0.7500000596046448,-0.44999998807907104,0.050000037997961044,0.15000000596046448
d16_c8_s32_cost0.005,32.0,8.0,16.0,0.005,13340.210893333333,-0.8167139,0.06940403,0.35904664,0.0001416279,-1.5999995470046997,-1.399999737739563,-1.100000023841858,-0.6000000238418579,-0.3999999761581421
d16_c8_s4_cost0.005,4.0,8.0,16.0,0.005,13269.174373333333,-0.55142057,0.8960853,0.59364307,0.0036401204,-0.7000001072883606,-0.5500000715255737,-0.4500000476837158,-0.20000003278255463,0.049999963492155075
d16_c8_s64_cost0.005,64.0,8.0,16.0,0.005,13333.75504,-0.71578586,0.27540833,0.3606159,0.00043881754,-1.6499994993209839,-1.149999976158142,-0.8000000715255737,-0.5,-0.2999999523162842
d16_c8_s8_cost0.005,8.0,8.0,16.0,0.005,13308.04066,-0.49005964,0.35004604,0.32842577,0.0017089522,-1.3499997854232788,-1.149999976158142,-0.7500000596046448,-0.3999999761581421,-0.19999995827674866
d4_c16_s16_cost0.005,16.0,16.0,4.0,0.005,13017.963133333333,-0.23730414,0.5595817,0.3118848,0.0021350333,-0.7500001192092896,-0.5500000715255737,-0.3500000238418579,-0.20000000298023224,-8.195638834251895e-09
d4_c16_s1_cost0.005,1.0,16.0,4.0,0.005,13036.125566666668,-0.9096832,-0.110119976,0.3168877,2.1757225e-05,-1.2999998331069946,-1.100000023841858,-0.9000000953674316,-0.7000000476837158,-0.550000011920929
d4_c16_s2_cost0.005,2.0,16.0,4.0,0.005,13035.385673333334,-0.59554166,0.14319569,0.31752065,0.000111635425,-1.4499996900558472,-1.100000023841858,-0.9000000953674316,-0.6500000357627869,-0.44999998807907104
d4_c16_s4_cost0.005,4.0,16.0,4.0,0.005,13035.210933333334,-0.6941326,0.17279102,0.39323986,0.00013268316,-1.3499997854232788,-0.8500000834465027,-0.6000000238418579,-0.44999998807907104,-0.19999995827674866
