Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s64_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.02,0.001,0.225605,1.1198429e-05,0.45121,12987.52
l_d16_c16_s64_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.02,0.01,0.07937478,3.733535e-05,0.15874957,12978.42
l_d16_c16_s64_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.02,0.05,0.010628246,2.724195e-05,0.021256492,12984.69
l_d16_c16_s64_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.02,0.2,0.0024277838,2.3977023e-05,0.0048555676,12991.65
l_d16_c16_s64_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.25,0.001,0.24865057,1.2437688e-05,0.49730113,12988.98
l_d16_c16_s64_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.25,0.01,0.056901537,2.8157368e-05,0.113803074,12989.36
l_d16_c16_s64_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.25,0.05,0.009801233,2.5602654e-05,0.019602466,12978.16
l_d16_c16_s64_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,64.0,16.0,16.0,0.01,0.001,0.25,0.2,0.0026301357,2.5458949e-05,0.0052602715,12986.26
l_d16_c16_s64_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.02,0.001,0.07455973,3.895457e-06,0.14911947,12991.24
l_d16_c16_s64_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.02,0.01,0.034064278,1.8080302e-05,0.068128556,12974.86
